,0,1,2
67,0.806846,-9.792285,0.9504981
68,0.9744401,-9.921572,1.221043
69,0.8475474,-9.955091,1.450886
70,0.5075707,-9.634268,1.18513
71,1.455675,-10.1155,1.51553
72,0.9744401,-9.840169,1.055843
73,0.3399766,-9.464279,0.6081272
74,0.545878,-9.868899,1.012747
75,0.5602432,-9.945514,1.261744
76,0.6703765,-9.68694,0.7350199
77,0.9074024,-9.31105,0.6847417
78,0.8475474,-9.710882,1.352724
79,0.1125275,-9.945514,1.714248
80,0.2322376,-9.56723,1.268927
81,0.4812346,-10.0341,1.280898
82,0.5075707,-9.809045,1.106121
83,0.4165911,-10.06283,1.161188
84,0.4141969,-9.82341,0.6272808
85,0.5434838,-9.782708,0.4405331
86,0.4237737,-9.85214,0.8499416
87,0.8020576,-9.911995,0.8283938
88,1.233014,-9.935937,0.3711013
89,0.7015011,-9.56723,0.1699883
90,0.7062895,-9.77792,0.8188169
91,0.7398083,-10.04128,1.11091
92,0.593762,-9.888053,0.3734955
93,0.7422025,-9.61272,-0.06224924
94,1.029507,-9.794679,0.2825158
95,0.7589619,-10.12268,0.7685388
96,-0.04070143,-9.411607,0.1867477
97,0.1053449,-9.483433,0.782904
98,0.5051765,-10.60631,1.865083
99,0.05027823,-9.392453,0.5506664
100,0.3256114,-9.270349,0.4572925
101,0.7062895,-10.35971,1.692701
102,-0.08140286,-9.440337,1.034295
103,0.4189853,-9.55047,0.6847417
104,1.108515,-10.02692,1.182736
105,0.9600749,-10.19691,1.079785
106,0.6488287,-9.02614,0.1867477
107,1.244985,-9.952697,1.175553
108,0.8571242,-10.41238,1.678335
109,-0.1939303,-9.78989,1.383849
110,1.826776,-10.06522,1.146823
111,1.848324,-10.08438,0.6775591
112,0.7661445,-9.545682,0.1077391
113,0.9983821,-10.26394,1.393425
114,0.7350199,-10.74997,1.539472
115,-0.06464344,-9.73243,0.6679823
116,0.3878607,-9.287108,0.4668693
117,1.49877,-10.06044,1.273715
118,0.1604115,-9.593566,1.06542
119,0.4237737,-9.878476,1.422156
120,1.070208,-10.29028,1.963245
121,0.6368576,-9.85214,1.467646
122,0.1173159,-9.222465,0.7876924
123,0.3040636,-9.988609,2.44448
124,0.2753332,-10.08438,2.542642
125,0.581791,-9.545682,1.656788
126,0.806846,-9.679757,1.857901
127,0.3902549,-9.904813,1.853112
128,0.3567361,-9.624691,1.489193
129,0.5985504,-9.648633,1.905785
130,1.261744,-9.981427,1.288081
131,1.388637,-9.583989,0.5626374
132,1.175553,-9.753978,0.7015011
133,0.7637503,-10.33577,1.187524
134,0.6751649,-10.69011,1.367089
135,1.204283,-9.562442,0.01915361
136,1.347936,-9.504981,0.1244985
137,1.051055,-10.05565,1.027112
138,0.5386954,-10.43872,1.778892
139,0.7086837,-9.296685,0.7350199
140,0.6200982,-9.574412,1.120486
141,-0.01197101,-9.435549,1.908179
142,0.3112462,-10.11311,2.41575
143,0.5195417,-9.765948,2.123657
144,0.5985504,-9.306262,1.759738
145,0.7757214,-9.557653,1.798046
146,0.5147533,-9.952697,1.802834
147,0.6679823,-10.21366,1.249773
148,0.806846,-9.524135,0.617704
149,1.716643,-10.1155,1.027112
150,1.086968,-10.43393,1.553837
151,0.8834604,-10.08438,1.201889
152,1.422156,-9.866506,0.6153098
153,1.534683,-9.646238,0.05267244
154,0.533907,-10.21127,1.805228
