,0
475,1.067814
476,-0.3758897
477,-0.4812346
478,-0.866701
479,-0.3854665
480,0.5243302
481,-0.7086837
482,-0.4453215
483,0.332794
484,0.9911995
485,0.3567361
486,0.5123591
487,-1.108515
488,-1.132457
489,-0.7757214
490,0.6512229
491,0.4285621
492,-0.2322376
493,-0.7469909
494,0.4285621
495,0.9217676
496,0.4165911
497,0.1843535
498,-0.7326257
499,-0.4213795
500,-0.260968
501,0.5841852
502,-0.3375824
503,-0.4836287
504,-0.5650316
505,0.09816227
506,0.4668693
507,0.2896984
508,-0.8738836
509,-1.043872
510,0.272939
511,0.3998317
512,0.260968
513,-0.7254431
514,-0.7062895
515,-0.926556
516,0.3639187
517,1.137246
518,0.08619126
519,-0.1939303
520,0.1436521
521,0.545878
522,-0.2753332
523,-0.6368576
524,-0.4405331
525,-0.1436521
526,-0.320823
527,0.1292869
528,0.5195417
529,0.8643068
530,0.6248866
531,-0.8140285
532,-1.21386
533,-0.5315128
534,0.842759
535,0.4692635
536,-0.5003881
537,-0.4764462
538,0.8619126
539,1.070208
540,-0.5123591
541,-0.7972692
542,-0.8499416
543,0.557849
544,0.1580173
545,0.4525041
546,-0.3663129
547,0.2801216
548,-0.4285621
549,-0.5554548
550,-0.2633622
551,0.2059013
552,0.593762
553,0.4022259
554,-0.6536171
555,0.1173159
556,-0.6560113
557,-1.041478
558,-0.6967127
559,0.6727707
560,-0.272939
561,0.4860229
562,0.7422025
563,0.9792285
564,0.7972692
565,0.8882488
566,0.6033388
567,-1.101333
568,-0.4046201
569,0.3758897
570,0.8619126
571,0.4165911
572,-0.1771709
573,0.2202666
574,0.3711013
575,0.248997
576,0.1699883
577,-0.2681506
578,-0.3136404
579,0.1436521
580,0.770933
581,0.2059013
582,0.09097966
583,0.3160346
584,0.4285621
585,0.2082956
586,0.2992752
587,0.7038953
588,0.6991069
589,0.2274492
590,0.4548983
591,0.5386954
592,0.4764462
593,0.6153098
594,0.2992752
595,-0.2059013
596,-0.6344634
597,-1.237802
598,-0.6799533
599,-0.605733
600,0.1005565
601,0.1843535
602,-0.4716577
603,-0.237026
604,-0.3280056
605,-0.4716577
606,-0.521936
607,-0.3615245
608,-0.3926491
609,-0.2992752
610,-0.1963245
611,-0.2537854
612,0.3399766
613,0.545878
614,0.1292869
615,-0.2202666
616,-0.9911995
617,-0.7541735
618,-0.4525041
619,-0.1675941
620,-0.3830723
621,-0.7517793
622,-0.4644751
623,-0.1867477
624,0.1723825
625,0.2226608
626,0.1532289
627,0.1436521
628,0.2154782
629,-0.2513912
630,0.1651999
631,0.4285621
632,0.5602432
633,-0.344765
634,-0.6823475
635,-0.3399766
636,0.2633622
637,0.2561796
638,0.3663129
639,0.1268927
640,0.3974375
641,0.3687071
642,0.2513912
643,0.1963245
644,0.2633622
645,-0.3519476
646,-0.5985504
647,-0.1556231
648,-0.3423708
649,-0.5123591
650,-0.4620809
651,0.296881
652,0.4596867
653,0.1244985
654,0.4908113
655,0.830788
656,0.6440403
657,0.4620809
658,0.2561796
659,0.1747767
660,0.2944868
661,-0.3351882
662,-0.296881
663,-0.2873042
664,-0.4788404
665,-0.7158663
666,-0.617704
667,-0.4429273
668,-0.3495534
669,-0.2035071
670,-0.1963245
671,0.2920926
672,0.5434838
673,0.5889736
674,0.3543419
675,0.3256114
676,0.6488287
677,0.6871359
678,0.3782839
679,-0.2274492
680,0.1939303
681,-0.4357447
682,-0.7134721
683,-0.7445967
684,-0.4165911
685,-0.1628057
686,-0.5147533
687,-0.7015011
688,-0.4477157
689,-0.2106898
690,-0.4740519
691,-0.3160346
692,0.2681506
693,0.1316811
694,0.1843535
695,0.3902549
696,0.3351882
697,0.1939303
698,0.08140286
699,-0.1915361
700,-0.4189853
701,-0.3734955
702,-0.1891419
703,-0.1843535
704,-0.3495534
705,-0.4141969
706,-0.2777274
707,0.1532289
708,0.225055
709,0.1316811
710,0.08140286
711,0.1556231
712,0.1963245
713,0.1197101
714,0.09576806
715,0.2681506
716,0.1771709
717,-0.1891419
718,-0.2681506
719,-0.2513912
720,-0.1939303
721,-0.4836287
722,-0.7374141
723,-0.782904
724,0.213084
725,0.3902549
726,0.3591303
727,-0.2513912
728,-0.3184288
729,-0.2657564
730,0.1173159
731,0.2657564
732,0.3112462
733,0.1939303
734,0.09337386
735,0.308852
736,0.4501099
737,0.2035071
738,-0.1723825
739,-0.1795651
740,-0.2681506
741,-0.1939303
742,0.1819593
743,0.2681506
744,0.2633622
745,0.2753332
746,0.09576806
747,0.1580173
748,0.1891419
749,0.1771709
750,0.1412579
751,0.1891419
752,0.1604115
753,-0.2944868
754,-0.3519476
755,-0.260968
756,-0.1963245
757,-0.2202666
758,-0.2059013
759,-0.1843535
760,-0.2537854
761,-0.3351882
762,-0.3758897
763,-0.3902549
764,-0.296881
765,-0.2011129
766,0.1221043
767,0.2202666
768,0.2825158
769,0.2322376
770,0.1077391
771,0.2753332
772,0.2992752
773,0.1987187
774,0.1915361
775,0.237026
776,0.1675941
777,-0.1556231
778,-0.2777274
779,-0.3375824
780,-0.3998317
781,-0.4501099
782,-0.4860229
783,-0.4237737
784,-0.2466028
785,-0.2944868
786,-0.2226608
787,0.2418144
788,0.3567361
789,0.1915361
790,-0.1963245
791,-0.2394202
792,-0.2633622
793,-0.237026
794,0.1173159
795,-0.2226608
796,-0.1843535
797,-0.1460463
798,-0.308852
799,-0.3423708
800,-0.1867477
801,-0.2226608
802,-0.3136404
803,-0.2777274
804,0.08379706
805,0.1771709
806,0.3687071
807,0.5770026
808,0.4022259
809,0.2226608
810,0.2992752
811,0.7015011
812,0.4692635
813,0.2274492
814,0.1699883
815,0.2059013
816,0.2513912
817,0.1508347
818,0.1651999
819,0.1604115
820,0.1771709
821,0.09816227
822,0.1173159
823,0.1292869
824,0.2226608
825,0.3016694
826,0.3040636
827,0.1508347
828,-0.4429273
829,-0.5171475
830,-0.2442086
831,0.1077391
832,-0.1939303
833,-0.2322376
834,0.1244985
835,-0.6631939
836,-0.9361328
837,-0.7469909
838,-0.3064578
839,0.1436521
840,-0.4979939
841,-0.3519476
842,-0.2705448
843,-0.1843535
844,-0.308852
845,-0.8619126
846,-0.6392518
847,-0.4668693
848,-0.296881
849,-0.1987187
850,-0.3998317
851,0.2992752
852,0.2896984
853,-0.1484405
854,-0.320823
855,0.4788404
856,0.521936
857,-0.4261679
858,-0.4716577
859,0.2896984
860,0.2154782
861,0.2561796
862,0.2322376
863,0.1628057
864,0.1316811
865,0.213084
866,0.5626374
867,0.5434838
868,-0.3471592
869,-0.4620809
870,0.4405331
871,0.260968
872,-0.1819593
873,-0.1604115
874,-0.1628057
875,0.09097966
876,0.2082956
877,-0.320823
878,-0.1939303
879,-0.1628057
880,-0.2681506
881,-0.2561796
882,0.08858546
883,0.2059013
884,0.1436521
885,0.332794
886,0.5099649
887,0.3902549
888,-0.28491
889,0.09097966
890,0.4333505
891,0.320823
892,0.3136404
893,0.3878607
894,0.5147533
895,0.4812346
896,0.1316811
897,-0.2394202
898,0.1101333
899,0.1005565
900,-0.1915361
901,-0.2322376
902,-0.1795651
903,-0.1891419
904,-0.2202666
905,-0.2394202
906,-0.1460463
907,-0.2035071
908,-0.3040636
909,-0.4405331
910,-0.641646
911,-0.6200982
912,-0.5626374
913,0.4788404
914,0.3016694
915,-0.1651999
916,-0.2825158
917,-0.3639187
918,0.2681506
919,0.2920926
920,0.237026
921,0.3423708
922,-0.2537854
923,-0.3711013
924,-0.2035071
925,-0.4094085
926,-0.7254431
927,-0.605733
928,0.7900866
929,1.005565
930,0.9241618
931,-0.3734955
932,0.2106898
933,0.2059013
934,0.2202666
935,0.7541735
936,1.194707
937,0.8571242
938,-0.2035071
939,-0.5913678
940,-0.1915361
941,0.3830723
942,-0.6895301
943,-0.3615245
944,0.2274492
945,0.4261679
946,0.1460463
947,-1.163582
948,-1.173159
949,-0.7972692
950,-0.4955997
951,-0.56982
952,-0.4022259
953,0.3615245
954,0.7110779
955,0.1699883
956,-0.4189853
957,-0.8379706
958,0.2106898
959,0.6033388
960,0.9217676
961,0.7661445
962,0.4285621
963,0.1651999
964,0.2346318
965,0.3016694
966,0.1723825
967,-0.2633622
968,0.320823
969,0.6584055
970,0.5889736
971,-0.7254431
972,-0.7876924
973,-0.7062895
974,-0.3519476
975,-0.2944868
976,0.2513912
977,-0.2513912
978,-0.5770026
979,0.1149217
980,0.6727707
981,1.005565
982,0.5841852
983,0.1244985
984,0.4405331
985,0.5291186
986,-0.4716577
987,0.7062895
988,1.041478
989,0.7350199
990,-0.3567361
991,-1.127669
992,-0.4237737
993,-0.3782839
994,-0.8738836
995,-1.055843
996,-0.4141969
997,0.332794
998,-0.6871359
999,-1.302446
1000,-0.842759
1001,0.2753332
1002,-0.1484405
1003,-0.3878607
1004,0.4405331
1005,0.6033388
1006,0.3280056
1007,-0.7350199
1008,0.1747767
1009,1.082179
1010,0.9744401
1011,0.1244985
1012,-0.4932055
1013,-0.2801216
1014,-0.1484405
1015,-0.1771709
1016,0.4237737
1017,0.1723825
1018,-0.4213795
1019,-0.521936
1020,0.2154782
1021,0.3615245
1022,0.1268927
1023,0.08619126
1024,-0.2178724
1025,-0.248997
1026,0.605733
1027,1.13964
1028,0.6703765
1029,-0.7038953
1030,-1.005565
1031,-0.2537854
1032,0.1819593
1033,0.1556231
1034,-0.2920926
1035,-0.1604115
1036,0.4357447
1037,-0.3854665
1038,-0.2394202
1039,0.08379706
1040,0.3926491
1041,0.605733
1042,0.1819593
1043,-0.9481038
1044,-0.1795651
1045,1.352724
1046,1.419762
1047,0.1221043
1048,-1.63524
1049,-0.5530606
